Column 1	exp_2: 0	exp_3: 0	exp_5: 0	exp_7: 0	exp_11: 0	exp_13: 0	exp_17: 0	exp_19: 0	exp_23: 0	exp_29: 0	exp_31: 0	exp_41: 0	exp_47: 0	exp_59: 0	exp_71: 0	sum	sum23
8	0	6	0	1	0	2	1	1	0	0	1	0	0	1	1	14	6
10	0	3	0	1	1	0	1	0	1	1	0	1	1	1	1	12	3
11	0	1	0	0	1	2	1	0	1	1	1	1	1	1	0	11	1
25	0	19	0	0	2	3	1	0	1	1	0	0	0	0	0	27	19
26	0	19	0	0	2	3	1	0	1	1	0	0	0	0	0	27	19
27	0	6	7	0	1	0	0	0	1	0	1	1	1	1	1	20	6
29	0	3	7	0	1	2	1	0	1	1	0	0	1	1	1	19	3
30	0	1	7	5	0	0	0	0	0	1	1	1	1	1	1	19	1
32	0	2	1	1	1	2	1	1	1	1	1	1	1	1	1	16	2
34	0	2	1	0	2	2	1	1	1	1	1	1	1	1	1	16	2
52	0	1	9	0	2	3	0	1	1	1	1	1	0	1	0	21	1
53	0	1	9	0	2	3	0	1	1	1	1	1	0	1	0	21	1
61	0	6	0	5	0	2	0	1	1	1	1	1	1	1	1	21	6
70	0	18	9	0	0	0	0	1	1	0	1	0	0	1	1	32	18
71	0	18	9	0	0	0	0	1	1	0	1	0	0	1	1	32	18
72	0	3	1	6	0	3	1	1	1	1	0	1	1	1	1	21	3
76	0	17	2	0	0	2	0	0	1	1	1	1	1	1	1	28	17
91	0	9	7	1	1	0	1	1	0	1	1	1	1	1	1	26	9
98	0	13	0	6	1	1	1	1	1	1	1	0	1	0	1	28	13
99	0	13	0	6	1	1	1	1	1	1	1	0	1	0	1	28	13
100	0	19	0	0	2	3	0	1	0	1	1	1	1	1	0	30	19
103	0	3	7	1	2	3	0	0	1	1	1	1	1	1	1	23	3
106	0	19	0	0	2	3	1	0	1	1	0	0	1	1	1	30	19
107	0	19	0	0	2	3	1	0	1	1	0	0	1	1	1	30	19
109	0	6	3	2	2	3	1	1	1	1	1	1	0	1	1	24	6
113	0	3	9	0	1	3	1	1	1	1	0	1	1	1	1	24	3
121	0	19	5	1	2	0	0	1	1	1	0	1	1	0	1	33	19
126	0	2	9	6	2	0	1	1	1	1	0	1	1	0	1	26	2
137	0	2	9	6	1	2	1	1	0	0	0	1	1	1	1	26	2
142	0	17	1	0	2	2	1	1	1	0	1	1	1	1	1	30	17
152	0	19	0	0	2	3	0	1	0	1	1	1	1	1	1	31	19
159	0	19	0	1	2	3	1	1	1	1	0	1	1	0	1	32	19
160	0	17	7	4	2	2	0	0	0	0	1	0	0	1	1	35	17
165	0	1	9	0	2	3	1	1	1	1	1	1	1	1	1	24	1
167	0	18	0	5	0	2	1	1	0	0	1	1	1	1	1	32	18
170	0	12	2	1	1	3	1	1	1	1	1	1	1	1	1	28	12
173	0	12	0	6	0	3	1	1	1	1	1	1	1	0	1	29	12
175	0	20	0	6	2	0	1	0	0	1	1	1	0	1	1	34	20
177	0	17	7	0	1	2	0	0	0	1	1	1	1	1	1	33	17
178	0	4	0	6	2	3	1	1	1	1	1	1	1	1	1	24	4
179	0	4	0	6	2	3	1	1	1	1	1	1	1	1	1	24	4
181	0	12	5	3	2	0	1	1	0	1	1	1	1	1	1	30	12
185	0	18	0	1	2	2	0	1	1	1	1	1	1	1	1	31	18
188	0	17	7	1	0	0	1	0	1	1	1	1	1	1	1	33	17
193	0	12	7	0	0	3	1	0	1	1	1	1	1	1	1	30	12
