module,value,count
Init.Prelude,0,288
Init.Prelude,1,119
Init.Prelude,2,90
Init.Prelude,3,25
Init.Prelude,4,14
Init.Prelude,5,13
Init.Prelude,6,13
Init.Prelude,7,13
Init.Prelude,8,58
Init.Prelude,9,12
Init.Prelude,10,12
Init.Prelude,11,12
Init.Prelude,12,11
Init.Prelude,16,34
Init.Prelude,17,1
Init.Prelude,32,50
Init.Prelude,64,45
Init.Prelude,127,4
Init.Prelude,128,6
Init.Prelude,192,1
Init.Prelude,224,1
Init.Prelude,240,1
Init.Prelude,256,1
Init.Prelude,512,1
Init.Prelude,1723,1
Init.Prelude,2047,4
Init.Prelude,4096,2
Init.Prelude,55296,3
Init.Prelude,57343,4
Init.Prelude,65535,4
Init.Prelude,65536,1
Init.Prelude,262144,1
Init.Prelude,1114112,4
Init.Prelude,4294967296,2
Init.Prelude,18446744073709551616,2
Init.Coe,0,12
Init.Coe,1024,6
Init.Notation,0,47
Init.Notation,1,1
Init.Notation,2,2
Init.Notation,10,5
Init.Notation,11,1
Init.Notation,20,2
Init.Notation,21,1
Init.Notation,30,6
Init.Notation,31,3
Init.Notation,35,10
Init.Notation,36,5
Init.Notation,40,2
Init.Notation,50,16
Init.Notation,51,20
Init.Notation,55,4
Init.Notation,56,2
Init.Notation,58,2
Init.Notation,59,1
Init.Notation,60,10
Init.Notation,61,5
Init.Notation,65,10
Init.Notation,66,7
Init.Notation,67,2
Init.Notation,68,1
Init.Notation,70,6
Init.Notation,71,3
Init.Notation,73,2
Init.Notation,74,1
Init.Notation,75,6
Init.Notation,76,2
Init.Notation,80,2
Init.Notation,81,1
Init.Notation,90,2
Init.Notation,91,1
Init.Notation,100,4
Init.Notation,101,1
Init.Notation,1022,30
Init.Notation,1023,8
Init.Notation,1024,29
Init.Tactics,0,41
Init.Tactics,1,1
Init.Tactics,2,1
Init.Tactics,51,3
Init.Tactics,1022,116
Init.Tactics,1024,68
Init.SizeOf,0,3
Init.SizeOf,1,68
Init.SizeOf,2,3
