omega,num_irreps,num_primes,primes,fully_voiced
3,1,3,"47 59 71",0
6,1,5,"2 31 41 59 71",0
7,2,9,"2 13 23 29 31 41 47 59 71",0
9,2,12,"2 3 7 11 19 23 29 31 41 47 59 71",0
11,2,13,"2 3 7 11 13 17 19 23 29 31 41 47 59",0
12,4,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
14,3,13,"2 3 7 13 17 19 23 29 31 41 47 59 71",0
15,3,14,"2 5 7 11 13 17 19 23 29 31 41 47 59 71",0
16,4,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
17,1,9,"2 5 13 19 31 41 47 59 71",0
18,5,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
19,7,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
20,4,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
21,7,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
22,10,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
23,12,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
24,8,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
25,12,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
26,17,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
27,4,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
28,9,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
29,7,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
30,10,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
31,5,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
32,11,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
33,13,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
34,2,12,"2 3 7 11 13 17 29 31 41 47 59 71",0
35,5,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
36,1,13,"2 3 5 7 11 13 19 23 29 41 47 59 71",0
37,4,15,"2 3 5 7 11 13 17 19 23 29 31 41 47 59 71",1
41,1,13,"2 3 7 11 13 17 23 29 31 41 47 59 71",0
43,2,10,"2 3 7 11 17 19 29 31 41 47",0
44,1,11,"2 5 13 17 19 23 29 31 47 59 71",0
45,1,8,"2 3 13 29 31 41 59 71",0
47,1,8,"2 5 19 29 41 47 59 71",0
51,1,9,"2 13 23 29 31 41 47 59 71",0
52,4,11,"2 7 11 13 19 23 29 31 41 47 59",0
54,3,9,"2 5 11 13 23 41 47 59 71",0
55,2,11,"2 3 5 7 13 17 23 29 41 59 71",0
56,1,9,"2 3 11 17 23 41 47 59 71",0
