Column 1	exp_2: 0	exp_3: 0	exp_5: 0	exp_7: 0	exp_11: 0	exp_13: 0	exp_17: 0	exp_19: 0	exp_23: 0	exp_29: 0	exp_31: 0	exp_41: 0	exp_47: 0	exp_59: 0	exp_71: 0	sum	sum23
6	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	9	2
7	1	1	0	1	1	2	0	1	1	0	0	1	1	1	0	11	2
19	1	1	2	5	1	0	0	1	1	1	0	1	0	1	1	16	2
23	3	2	0	4	1	0	1	1	1	1	1	0	1	1	1	18	5
36	1	3	8	4	1	0	0	0	0	1	0	1	1	1	1	22	4
43	1	12	0	6	0	1	1	1	1	1	1	0	0	1	0	26	13
44	1	12	0	6	0	1	1	1	1	1	1	0	0	1	0	26	13
45	18	1	2	5	1	0	0	0	0	1	1	0	1	1	1	32	19
49	19	1	1	1	2	0	0	1	0	1	1	1	1	1	1	31	20
50	2	2	0	6	2	0	1	1	0	1	1	1	1	1	1	20	4
51	2	2	0	5	2	2	0	1	1	0	1	1	1	1	1	20	4
56	5	7	1	1	1	3	1	1	0	1	1	1	1	0	1	25	12
60	12	1	0	1	2	2	0	1	1	1	1	1	1	1	1	26	13
63	16	3	2	0	1	2	1	0	0	1	1	1	1	1	1	31	19
64	6	3	0	6	1	3	1	1	0	0	0	1	1	1	1	25	9
65	3	17	0	1	1	2	1	0	1	1	1	0	0	1	1	30	20
66	2	3	7	4	1	0	1	0	1	0	1	1	1	1	1	24	5
67	1	12	2	1	0	3	1	0	1	1	1	1	0	1	1	26	13
77	6	17	0	4	0	0	0	0	1	0	1	1	1	1	1	33	23
78	4	3	7	0	2	2	0	0	1	1	1	1	1	1	1	25	7
79	2	1	2	5	2	3	0	1	1	0	1	1	1	1	1	22	3
80	31	1	0	3	2	0	1	1	0	1	1	1	1	0	0	43	32
81	31	1	0	3	2	0	1	1	0	1	1	1	1	0	0	43	32
82	1	1	9	6	2	0	1	1	0	1	1	0	1	0	1	25	2
83	1	1	9	6	2	0	1	1	0	1	1	0	1	0	1	25	2
87	3	2	0	6	2	3	1	0	1	0	1	1	1	1	1	23	5
90	1	3	8	4	0	3	0	0	1	1	1	1	1	1	0	25	4
92	1	1	8	4	0	0	1	1	1	1	1	1	1	1	1	23	2
93	3	1	1	6	2	2	1	1	1	1	1	1	0	1	1	23	4
94	6	1	2	5	1	2	1	1	0	1	1	1	1	1	1	25	7
95	10	1	2	5	0	3	0	1	0	1	1	1	1	1	1	28	11
96	18	3	8	1	1	0	1	1	0	1	0	0	1	1	1	37	21
97	11	2	0	3	1	3	1	0	1	1	1	1	1	1	1	28	13
104	1	19	0	4	2	3	1	0	1	1	0	1	0	0	0	33	20
105	1	19	0	4	2	3	1	0	1	1	0	1	0	0	0	33	20
112	4	12	0	1	2	3	0	1	0	1	1	1	1	1	1	29	16
114	3	2	0	4	2	3	1	1	1	1	1	1	1	1	1	23	5
115	7	9	0	0	1	3	1	1	1	1	1	1	1	1	1	29	16
116	2	1	2	6	1	2	1	1	1	1	1	1	1	1	1	23	3
117	3	6	0	6	1	2	1	0	1	1	1	1	1	1	1	26	9
119	3	6	8	1	1	1	1	1	1	0	1	1	1	1	1	28	9
125	20	2	0	0	2	3	1	0	1	1	1	1	1	1	1	35	22
129	9	1	8	1	1	3	0	1	1	1	1	0	1	1	1	30	10
130	1	17	2	5	0	0	0	1	1	1	1	0	1	1	1	32	18
140	1	17	1	5	1	0	0	1	1	1	1	1	0	1	1	32	18
141	16	1	0	4	2	2	1	1	0	1	1	1	1	1	1	33	17
144	28	1	0	1	1	2	1	0	1	1	1	1	1	1	1	41	29
145	18	3	2	1	2	3	0	1	1	1	0	1	1	1	1	36	21
148	2	4	1	6	2	3	1	1	1	1	1	1	1	1	0	26	6
149	2	2	9	1	2	1	1	1	1	1	1	1	1	1	1	26	4
150	3	6	7	5	1	2	0	1	0	1	1	1	0	1	1	30	9
151	1	19	1	1	2	3	0	1	0	1	1	1	1	1	0	33	20
153	10	1	0	5	2	3	0	1	1	1	1	1	1	1	1	29	11
154	4	7	7	1	1	3	0	1	1	0	1	1	1	1	1	30	11
155	2	2	9	4	2	3	0	1	1	1	1	1	0	0	1	28	4
161	12	1	9	1	0	2	1	1	0	1	1	1	1	1	1	33	13
162	1	19	0	4	2	0	0	1	1	1	0	1	1	1	1	33	20
163	2	19	0	0	2	3	1	0	1	1	1	1	0	1	1	33	21
164	1	2	3	4	2	3	1	1	1	1	1	1	1	1	1	24	3
166	3	1	7	5	2	1	1	1	1	1	0	1	1	1	1	27	4
168	18	19	0	0	0	3	0	0	0	1	1	1	0	1	1	45	37
172	12	6	2	5	0	3	1	1	1	0	1	0	1	1	1	35	18
174	42	2	1	4	0	2	0	0	1	1	0	1	0	1	0	55	44
186	2	19	0	4	0	3	0	0	0	1	1	1	1	1	1	34	21
187	7	2	1	4	2	3	1	1	1	1	1	1	1	1	1	28	9
190	1	2	9	1	2	3	0	1	1	1	1	1	1	1	1	26	3
191	1	6	8	6	0	0	0	1	1	1	1	1	1	1	1	29	7
192	46	2	0	0	2	0	1	0	1	0	0	1	1	1	1	56	48
