base,digit_length,representation,head[:10],mid[:10],tail[:10],numerator/denominator(B^(L-1))
2,180,100001101111101000…000000000000000000,1000011011,1111110111,1100001100,11482618231106483731969943632999939453125/10889035741470030830827987437816582766
3,113,222112212202112021…000000000000000000,2221122122,2222212021,1002200100,231737134238290082302814542435975168000000000/7855167211278941183302257731529054
4,90,201233220333110100…000000000000000000,2012332203,3331301030,3003011000,11482618231106483731969943632999939453125/54445178707350154154139937189082913832
5,78,110230334122241032…214031131000000000,1102303341,1311300100,4440103121,413704921494790592453867471340395907586946236416/3388131789017201356273290002718
6,70,135020434100441221…000000000000000000,1350204341,4235442304,5504000000,3293182746777604312211658203125/2007388267578592053659606974464
7,64,443134222562526056…421143534121000000,4431342225,6532232030,4652421143,6868034788179354485685895374900855570432000000000/148111329661697774146410553251
8,60,415750772420310470…612000000000000000,4157507724,7734230531,6061200000,11482618231106483731969943632999939453125/27222589353675077077069968594541456916
9,57,284856752373754162…261038670000000000,2848567523,8876757636,3261038670,231737134238290082302814542435975168000000000/7855167211278941183302257731529054
10,54,808017424794512875…005754368000000000,8080174247,8864599049,0057543680,5879100534326519670768611140095969/727595761418342590332031250000000
11,52,629166240521476580…802964363717906600,6291662405,0994946215,8029643637,6677829956979445255259999214559593033105408000000000/106718957163359378642424087
12,50,a7a33098b169885b23…000000000000000000,a7a33098b1,2331606809,0000000000,3293182746777604312211658203125/309083741926783601990820691968
13,49,2986240a341c4104c6…ccb150892caa682000,2986240a34,c6a3418bb9,cb150892ca,367782168773105542051187940355808264454144000000000/1341068167132499341536581124
14,48,1148863ab1a8746946…d340769a31a8000000,1148863ab1,46bd32c638,40769a31a8,97600644553769974517164987658203125/89135280652726391800380091949136014
15,46,9952d5dab1ad6958d8…70b1c2c1c000000000,9952d5dab1,8d8dc5a4d4,b1c2c1c000,118649412730004522139041045727219286016/12329672018575365655124187469482421875
16,45,86fa3f510644e13fdc…c78c31400000000000,86fa3f5106,fdc4c5673c,c314000000,11482618231106483731969943632999939453125/13611294676837538538534984297270728458
17,44,9g487d0ed5g40gc79d…3a6cc4fd5f74696020,9g487d0ed5,c79d7936d0,cc4fd5f746,47530436752618404463909406174218279823867904000000000/47736953318395662348189684
18,43,f63fec7c42eh2hcb3g…3a2666fa0000000000,f63fec7c42,cb3g854679,666fa00000,52690923948441668995386531250000/3433683820292512484657849089281
19,43,1b1g050g1ggdf94260…37e7iafg939636b5g0,1b1g050g1g,4260gbaib4,7iafg93963,42527232883921730309813679208511092473987072000000000/26847115986241183138017674
20,42,3d9fa117949ea72h6g…ce3344c34000000000,3d9fa11794,2h6g94jdai,44c3400000,5879100534326519670768611140095969/1600000000000000000000000000000000
21,41,a94a7cb6i4acjfg15e…93f07786g8jf000000,a94a7cb6i4,fg15ekj24j,7786g8jf00,1969733140428648626871580229632000000000/188694158142734186952338621346543616449
22,41,1dfja4f76ec5ldceak…l066i95g5505l5bi00,1dfja4f76e,dceaki797h,i95g5505l5,6073450965213346767322945392661125000000/374043434447735138891647570536338185668
23,40,6730i34ke1j6jil39e00k60db6730k4h6771l7b0,6730i34ke1,il39e00k60,730k4h6771,35131192382370125038541734998335250304598016000000000/55674685017461345328460580
24,40,14j4k3nchfni3n00e5bdbneh6000000000000000,14j4k3nchf,n00e5bdbne,0000000000,3293182746777604312211658203125/2744312298045852107919920726016
25,39,62filce5hfoil86f108mga83nnok5gbkg850000,62filce5hf,86f108mga8,ok5gbkg850,413704921494790592453867471340395907586946236416/6776263578034402712546580005437
26,39,19jk776h0emg619d34gmh5iacm93240bmd5a000,19jk776h0e,19d34gmh5i,93240bmd5a,1337983735622785541822624292238500000000/972786042517719014174576083150881262357
27,38,8mpomkbcmm525qn7hfb2gp2ac38118k9000000,8mpomkbcmm,5qn7hfb2gp,38118k9000,231737134238290082302814542435975168000000000/2618389070426313727767419243843018
28,38,28ek0dll3ka859113ke2qnb1ifjbk9m8000000,28ek0dll3k,59113ke2qn,fjbk9m8000,97600644553769974517164987658203125/42352506622098041988396815176695808
29,37,i716shd7mr2joojndnqk7l97r4g5f4kmbi9q0,i716shd7mr,oojndnqk7l,r4g5f4kmbi,27862669820500443996084824309024508862267392000000000/15273196049090662554422445
30,37,5bf1d0gntepl9g6opclrlbst77d6000000000,5bf1d0gnte,9g6opclrlb,77d6000000,1726576195942536609640825856/320723064243793487548828125
31,37,1k7usa0tclu2ebajp4gjcc103qa0kcqj49ks0,1k7usa0tcl,ebajp4gjcc,3qa0kcqj49,26065078219177834706014835643926153451798528000000000/15763740762379653595732059
32,36,grt3uk868jgjvn2capps4v3ooca000000000,grt3uk868j,vn2capps4v,oca0000000,11482618231106483731969943632999939453125/68056473384187692692674921486353642291
33,36,5olbvmqkactm4ngw7uuss2frq4i012svpu00,5olbvmqkac,4ngw7uuss2,q4i012svpu,1915182927589174233907558201950208000000000/333255580831609109449077252944834663
