chi	dimension	omega	p2	p3	p5	p7	p11	p13	p17	p19	p23	p29	p31	p41	p47	p59	p71
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	196883	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
3	21296876	6	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1
4	842609326	7	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0
5	18538750076	9	1	0	0	1	1	0	0	0	1	1	1	1	0	0	1
6	19360062527	7	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1
7	293553734298	9	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1
8	3879214937598	11	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0
9	36173193327999	14	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1
10	125510727015275	12	0	0	1	1	0	0	1	0	0	1	1	1	1	0	1
11	190292345709543	12	0	1	0	1	1	0	1	0	1	1	0	1	1	1	1
12	222879856734249	11	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0
13	1044868466775133	12	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1
14	1.10994E+15	12	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1
15	2374124840062976	22	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1
16	8980616927734375	19	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0
17	8980616927734375	19	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0
18	15178147608537368	14	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1
19	39660520552077425	15	0	0	1	1	1	1	1	0	1	0	0	0	0	1	1
20	60359800576579350	16	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1
21	251098487132187500	17	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1
22	290568421805921077	14	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1
23	336041615485626050	15	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1
24	2500435234254428856	18	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1
25	2986480825407204125	15	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1
26	3503434660075044981	27	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0
27	3503434660075044981	27	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0
28	3605718753596953125	20	0	1	1	0	1	0	0	0	1	0	1	1	1	1	1
29	8456836343580310400	20	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1
30	8754193822112578125	19	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1
31	28585990950721640625	19	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1
32	30815545786259524745	16	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1
33	31569817307122699605	16	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
34	47377503606648784400	18	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1
35	49609712911192813665	16	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
36	77316619273928125000	21	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1
37	130415350420342968750	22	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1
38	155943076739182582850	18	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1
39	172399434201593354756	19	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0
40	172399434201593354756	19	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0
41	286243267692724486144	32	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0
42	286243267692724486144	32	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0
43	379913824694312370176	29	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1
44	640558364167263622626	26	1	1	0	1	0	1	1	1	1	1	1	0	0	1	0
45	640558364167263622626	26	1	1	0	1	0	1	1	1	1	1	1	0	0	1	0
46	643356925889917747200	32	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1
47	691170144025469730622	18	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1
48	691170144025469730622	18	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1
49	776097192277137500000	24	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0
50	918438233727730974720	31	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1
51	1201241700908448332364	20	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1
52	1353006807137391674268	20	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1
53	1480279477146615234375	21	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0
54	1480279477146615234375	21	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0
55	1768130802583126953125	22	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1
56	1768130802583126953125	22	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1
57	2351753641814605348320	25	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1
58	2382987417506242421875	19	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1
59	4567199176912486400000	32	1	0	1	0	1	1	1	1	0	0	1	0	0	1	1
60	4567199176912486400000	32	1	0	1	0	1	1	1	1	0	0	1	0	0	1	1
61	5578077210155766091776	26	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1
62	6566555764392010419123	21	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1
63	7226910362631220625000	23	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1
64	10145274012943412428800	31	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1
65	12810005542623250817856	25	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1
66	19795913912408993711352	30	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1
67	21803647757861753437500	24	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
68	24670833602960142274950	26	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1
69	31714653744947491918600	21	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1
70	41209556844092914062500	22	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1
71	42940402913709544921875	32	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1
72	42940402913709544921875	32	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1
73	60683762052057587326065	21	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1
74	70660346341309333984375	22	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1
75	70660346341309333984375	22	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1
76	86551489469233273849000	22	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1
77	91068387388302451493925	28	0	1	1	0	0	1	0	0	1	1	0	1	1	1	1
78	114212876389603002704448	33	1	1	0	1	0	0	0	0	1	0	1	1	1	1	1
79	115192831837135016250000	25	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1
80	146575737439884098045700	22	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
81	149614794149226010902528	43	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0
82	149614794149226010902528	43	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0
83	161649111002260792968750	25	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1
84	161649111002260792968750	25	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1
85	191259085113459945312500	25	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1
86	191259085113459945312500	25	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1
87	218028402153522030021875	21	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1
88	220326476909636307378168	23	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1
89	260799524107083767968750	23	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1
90	260799524107083767968750	23	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1
91	261575621299360905468750	25	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0
92	277540481294528814140625	26	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1
93	303379038247015811718750	23	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
94	331150814995116217581480	23	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
95	351532203382732066094400	25	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
96	391009081837477378329600	28	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1
97	392611651975065600000000	37	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1
98	433528694560598978525184	28	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1
99	597787522207315571077947	28	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1
100	597787522207315571077947	28	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1
101	600020772685064502392907	30	0	1	0	0	1	1	0	1	0	1	1	1	1	1	0
102	626877403613887304040448	54	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0
103	626877403613887304040448	54	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0
104	655159231073705404921875	23	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
105	689763222744895005949242	33	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0
106	689763222744895005949242	33	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0
107	689766726179555080994223	30	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1
108	689766726179555080994223	30	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1
109	1037605886984697481755304	22	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
110	1361549126105752982272875	24	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
111	1599110387863558882812500	25	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1
112	1662686180483865572016128	33	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1
113	2181694185821505680397072	29	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1
114	2216343020913351966796875	24	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
115	2477548750555298068681032	23	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
116	3282510540283631442175104	29	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
117	3537292796538741415074900	23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
118	3619209050774375426792424	26	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1
119	4004308274823270400000000	37	1	0	1	1	0	0	0	1	1	0	1	1	0	1	1
120	4239315652979009728125000	28	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
121	4926670174323484069683200	31	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1
122	5334046162969208352215625	33	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1
123	5514132424881463208443904	52	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0
124	5514132424881463208443904	52	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0
125	5514132424881463208443904	52	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0
126	7118465328761788475375616	35	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1
127	7375892500409609408203125	26	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1
128	7567151576542452425781250	26	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0
129	7567151576542452425781250	26	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0
130	7850934959207940600000000	30	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
131	8394037047155083487634450	32	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1
132	8874260875527017936065100	23	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1
133	9416031858681585751556096	52	1	0	0	1	1	0	0	0	1	0	1	1	1	1	0
134	9479495745805305653125000	26	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1
135	9592298143650890255171584	35	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0
136	9592298143650890255171584	35	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0
137	9592584386918582979657728	37	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1
138	10023854998171489083984375	26	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
139	12650882100466187033706250	23	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1
140	14930164283563048960000000	54	1	0	1	0	1	0	0	0	1	0	0	1	0	1	1
141	16109407269221032565630370	32	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1
142	22626621365160537099927552	33	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1
143	24546384719289825598186695	30	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1
144	27501917609709102247187500	25	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1
145	29734941419909382162874368	41	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1
146	33684388830359981044531200	36	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1
147	33722191327002668157047380	23	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
148	37310715211546624000000000	47	1	0	1	0	0	0	0	1	0	1	0	1	1	1	1
149	38471795739256565080575180	26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
150	41738941151243953804687500	26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
151	41762322738385820195625000	30	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1
152	42001454087954515167503490	33	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0
153	42601474860639579669896397	31	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1
154	43527130990147981755651072	29	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1
155	50572542024949598403750000	30	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
156	51324350389558097414062500	28	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1
157	56356433273146675005489152	35	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1
158	58437394633227526183321600	37	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1
159	62038057486792249132974080	44	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1
160	63750812845035828079008441	32	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1
161	64326163427522624205703125	33	0	1	1	1	1	1	0	0	0	0	1	0	0	1	1
162	66550339514356152000000000	33	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1
163	69084859008005036431224066	33	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1
164	74612213529720383654779356	33	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1
165	77423398454853064646282250	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
166	83974774459050335630859375	24	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
167	86206621680977834911875000	27	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
168	88943820620288343261672393	32	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1
169	103354104243912727763091456	45	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1
170	115165062362004433625000000	29	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1
171	121170799240938738783416925	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
172	124058385593021471188320256	51	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1
173	124982156072747647257292800	35	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1
174	125517264890136048242396811	29	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1
175	129572518017902934396764160	55	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0
176	130287135266837289237316743	34	0	1	0	1	1	0	1	0	0	1	1	1	0	1	1
177	135226984222789977095703125	25	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0
178	136107644194473772613203125	33	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1
179	136574874874360806036041889	24	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1
180	136574874874360806036041889	24	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1
181	138988549876584520148320256	55	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1
182	161561864971171113287540625	30	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1
